Cluster,Size,Percentage,Avg_Age,Median_Age,Min_Age,Max_Age,Avg_Income,Median_Income,Min_Income,Max_Income,Avg_Spending,Median_Spending,Min_Spending,Max_Spending,Male_Count,Female_Count,Male_Percentage,Female_Percentage
0,33,16.5,41.93939393939394,43.0,19,59,88.93939393939394,86.0,71,137,16.96969696969697,16.0,1,39,19,14,57.6,42.4
1,45,22.5,56.333333333333336,54.0,43,70,54.266666666666666,54.0,38,79,49.06666666666667,49.0,35,60,19,26,42.2,57.8
2,24,12.0,25.25,23.5,18,35,25.833333333333332,24.5,15,39,76.91666666666667,76.5,39,99,10,14,41.7,58.3
3,39,19.5,32.69230769230769,32.0,27,40,86.53846153846153,79.0,69,137,82.12820512820512,83.0,63,97,18,21,46.2,53.8
4,38,19.0,26.68421052631579,26.0,18,40,57.578947368421055,60.0,40,76,47.78947368421053,49.5,10,60,14,24,36.8,63.2
5,21,10.5,45.523809523809526,46.0,20,67,26.285714285714285,25.0,16,39,19.38095238095238,15.0,3,40,8,13,38.1,61.9
